Name,Outlook
Jameis Winston,"Now two seasons into his career, Winston has essentially been a poor man's Cam Newton. He's struggled badly with accuracy (third-worst off-target rate in both 2015 and 2016), but makes up for it by slinging the ball down field (10.3 average depth of throw ranked second in 2016) and with his legs (top-10 in carries at the position each of his first two seasons). Winston needs to tone down the turnovers (33 interceptions in two seasons), but the additions of DeSean Jackson and O.J. Howard will help, especially after his receivers averaged 4.0 yards after the catch last season (second lowest). Winston's lack of fantasy upside (seven career top-10 weeks) is a red flag, but the former No. 1 overall pick is a candidate for a leap forward with a better supporting cast in his third year."
Derek Carr,"Following an underwhelming rookie season and a solid sophomore campaign, Carr took another step forward in 2016. The former second-round pick tossed 28 touchdowns and only six interceptions. His completion rate improved to 64 percent despite 31 dropped passes; Carr has now ranked top-four in drops each of his three seasons. Granted, Carr's efficiency has been fairly average, but Oakland's terrific offensive line and the combination of Amari Cooper and Michael Crabtree have helped him to a top-10 fantasy week during a healthy 45 percent of his past 31 starts. Carr is only 26, so it's possible we haven't yet seen his best work."
Zay Jones,"Jones was selected by the Bills in the second round of this year's draft. The East Carolina product was targeted a whopping 220 times last year and caught an NCAA record 158 passes for 1,746 yards and 8 touchdowns. He dropped only four passes, but his average depth of target (8.3) was very low. Jones also killed it at the combine, posting at least an above-average mark in every drill. Jones is 6-foot-2, 201 pounds and figures to immediately step in as Buffalo's No. 2 or 3 wideout alongside Jordan Matthews and Anquan Boldin. He's an intriguing PPR sleeper. "
Dak Prescott,"Say what you want about the Cowboys' offensive line, the quarterback still has to make throws. And Prescott did that at the highest level imaginable for a rookie last season. The fourth-round gem ranked 23rd in pass attempts, but posted a 23-to-4 TD/INT mark and ran for 282 yards and a position-high six touchdowns. Prescott ranked fourth in the league in completion percentage (68 percent) and yards per attempt (8.0). The rookie was fantasy's sixth-highest-scoring quarterback, but that's likely his ceiling unless 2016's run-heaviest offense is forced to throw the ball more often. Regardless, Prescott's efficiency and rushing ability keeps him in the top 10 at the position."
Sterling Shepard,"Shepard lacked a high ceiling and was a bit touchdown dependent, but he managed to post a 36th-place fantasy campaign as a rookie despite the Giants finishing 22nd in the league in offensive touchdowns. The second-round pick finished 44 percent of his appearances as a top-30 fantasy receiver (ranking 29th) and failed to post a single top-10 week. Shepard was on the field for an enormous 97.7 percent of the pass plays in a New York offense that almost always has three receivers on the field. That being the case, Brandon Marshall's presence won't cost Shepard many snaps, but is a near-lock to cost him in the touchdown department. Upgrade him slightly in PPR."
Josh Doctson,"Josh Doctson was the 22nd overall pick in the 2016 draft, but he missed nearly his entire rookie campaign with an Achilles injury. Both DeSean Jackson and Pierre Garcon are gone, which opens the door for Doctson to see the field often in his second season. The TCU product is already 24 years old but is 6-foot-2, 202 pounds and has big-time upside as a downfield playmaker. Doctson enjoyed a terrific final collegiate season before dominating nearly every aspect of the 2016 combine. Following what was essentially a redshirt rookie campaign, expect Doctson to play a significant offensive role in one of the league's better scoring offenses in 2017."
Martellus Bennett,"Bennett is now 30 years old and coming off a season in which he paced all tight ends by averaging 9.9 yards per target. He finished as a top-10 fantasy tight end for the third time in four years. Bennett was limited to 78 percent of the Patriots' offensive snaps last season, but, as one of the game's better two-way tight ends, he had been on the field for at least 90 percent of his team's snaps, when active, during each of the previous four seasons. Bennett will be no higher than third in the target pecking order in Green Bay, but that's not a bad place to be in an offense that was the pass-heaviest in the league and ranked third in touchdowns last season. Bennett is a fringe TE1."
Hunter Henry,"It's rare for a rookie tight end to make a splash in fantasy, but Henry did exactly that in 2016. The second-round pick was only on the field for 54 percent of San Diego's offensive snaps but scored a position-high eight touchdowns on 53 targets. He finished sixth in yards per target (9.0), fourth in post-catch yardage (5.5), second in end zone targets (12) and 19th in fantasy points (11th in non-PPR). Henry enters 2017 as a lock for an expanded role at the expense of 36-year-old Antonio Gates. With Philip Rivers under center, Henry is a candidate for his first top-12 fantasy season, but keep in mind that there are a lot of mouths to feed in this offense."
Jack Doyle,"Doyle was one of the top breakout players in fantasy last season. The 2013 undrafted free agent took advantage of Coby Fleener's departure and Dwayne Allen's struggles by catching 59 passes (11th-most at the position) and scoring five touchdowns. He finished 13th in fantasy points at the position and paced tight ends with a 79 percent catch rate. Doyle signed a three-year extension and Allen was traded to New England during the offseason. In the past 10 years, head coach Chuck Pagano (23 percent) and offensive coordinator Rob Chudzinski's (26 percent) offenses have directed a minimum of 20 percent of the targets to the tight end position. Doyle is atop the depth chart and positioned to play a major role in an offense led by Andrew Luck. He's a TE2 with upside."
Marcus Mariota,"Mariota seemingly took a step forward in his second NFL season, but his statistical improvement was more related to volume than it was efficiency. In fact, his first- and second-season completion percentage, off-target rate and yards-per-attempt marks are almost exactly identical. Mariota ran for 349 yards and two touchdowns, which helped out his fantasy production, but he still fell short of finishing as a top-12 fantasy quarterback. Mariota's durability is also a slight red flag after he's missed five games in two seasons. The Oregon product's fantasy upside will also be limited by a Tennessee offense that called pass 55 percent of the time last season (second lowest). Especially with fifth overall pick Corey Davis now in the mix, Mariota is a strong QB2 option."
Derrick Henry,"Henry played second fiddle to DeMarco Murray as a rookie, but the 6-foot-3, 247-pound bruiser still managed 110 carries for 490 yards and 5 touchdowns. That's a healthy 4.5 YPC, 1.8 of which came after contact. Henry faced an average of 8.2 in-box defenders, which was third highest in the NFL. He also showed off some receiving chops by catching all but one of his 14 targets for 137 yards. As one of the most intriguing running back handcuffs, the 22-year-old Henry will probably be drafted too early in most leagues, but he'd certainly be in the RB1 mix if Murray were to miss time. "
Ted Ginn Jr.,"The ninth overall pick back in 2007, Ginn was a relative disappointment during the early portion of his career -- but he enjoyed a ton of success during his time in Carolina. He posted a career-best 44-739-10 line in 2015 and followed it up with a 54-752-4 last season. Ginn has struggled with drops (13 over the past two years), but offset it with his big-play ability. With Brandin Cooks gone to New England, Ginn will work as the Saints' second perimeter receiver opposite Michael Thomas, with Willie Snead in the slot. In that role, and with Drew Brees under center, the 32-year-old makes for a sneaky late-round target and flex option."
John Brown,"Brown is averaging 6.9 targets during 35 career games in which he's played at least 70 percent of Arizona's pass play snaps. The 2014 third-round pick was limited to 39 receptions by a sickle-cell issue last season, but the team has said it is now under control. Brown averaged 9.8 yards per target (10th best) and was fantasy's No. 25-scoring wide receiver in 2015. He ranked top-10 in average depth of target each of his first two years in the NFL and was 16th last year (13.5). Brown is a prime bounce-back candidate as an underrated Arizona offense's No. 2 wideout behind 33-year-old Larry Fitzgerald."
Matthew Stafford,"Stafford has suddenly become one of the most reliable quarterbacks in fantasy. He hasn't missed a game or finished lower than ninth in passing touchdowns in six seasons and has finished among the top-11 quarterbacks in fantasy points during five of those years. Last season, Stafford dealt with an NFL-high 32 drops, but he still completed 65 percent of his passes (12th best) and averaged 7.3 yards per attempt (14th). Stafford has converted into one of the game's most conservative passers (7.1 average depth of throw is third lowest in the NFL over the past three years), but it hasn't slowed his fantasy production. Offensive line improvements aside, Stafford's supporting cast won't be much better this season, but he remains a relatively safe back-end QB1."
Broncos D/ST,"The Broncos have ranked top-two in D/ST scoring each of the past two seasons, and their nine top-10 fantasy weeks tied Seattle for the most in 2016. The Broncos ranked fourth or better in fumble recoveries (13), sacks (42), yards allowed (5,057) and points allowed (297) last season. Unlike last offseason, Denver's defense saw very little turnover this year, which positions the likes of Von Miller, Brandon Marshall, Aqib Talib and Chris Harris Jr. to lead this unit to another strong fantasy campaign."
Chris Thompson,"Thompson appeared in all 16 games as Washington's passing-down specialist behind Matt Jones and Rob Kelley last season. The 5-foot-8, 193-pound scat back finished top 15 at the position in targets, receptions and receiving scores. He also averaged 5.2 YPC (seventh) and scored a total of five touchdowns. Thompson's frame will always limit him to situational duties, but he's one of the best at what he does and is in an offense that has had a lot of success throwing the ball. He'll flirt with flex numbers, but should be downgraded in non-PPR."
Seahawks D/ST,"The Seahawks were the ninth-ranked D/ST last season, their worst finish since 2010. Seattle did, however, post nine top-10 fantasy weeks, which tied Denver for the most. The Seahawks were limited to 11 interceptions last season (21st in the NFL), but finished third in sacks (42) and third best in points allowed (292) after topping the league each of the previous four seasons. This defense saw very little turnover during the offseason, so we can expect another strong campaign from a unit stacked with Richard Sherman, Michael Bennett, Bobby Wagner, K.J. Wright, Kam Chancellor and Earl Thomas. Just plan on going a different direction come Week 1, with Seattle set to play in Green Bay."
Marvin Jones,"Jones was one of the top free-agent signings at wide receiver last offseason, latching on with Detroit following Calvin Johnson's retirement. Jones' Detroit career got off to a great start -- he paced all wideouts in fantasy points after a 205-yard Week 3 outing -- but things went south from there. Jones posted a 37-522-2 line from Week 4 on, which worked out to rank 64th in fantasy points at the position. Jones' 13.6-yard average depth of target (14th) allowed him a 16.9 YPR (fifth), but he managed to haul in only 53 percent of his targets and had seven drops (fourth most). Jones has fallen behind Golden Tate on the depth chart, and he's no more than a flex option in Detroit's conservative passing game."
Ben Roethlisberger,"Roethlisberger's shaky durability isn't new (at least one missed game during seven of the past 10 years), but he's recently turned into a must-start fantasy quarterback at home and a must-bench on the road. Over the past three years, Roethlisberger has a 59-to-16 TD/INT mark and sits third in fantasy points at Heinz Field. He sits at 23 TDs, 22 INTs and 18th in fantasy points during 22 road games in that span. Roethlisberger's efficiency took a hit across the board last season and, this may be hard to believe, but he's posted one top-10 fantasy campaign during the past seven years. It's possible the returns of Ladarius Green (health) and Martavis Bryant (suspension) will launch Roethlisberger back to fantasy stardom, but in the meantime, he's a borderline weekly starter."
Philip Rivers,"Quite incredibly, Rivers has started every single one of the Chargers' games over the past 11 years. He's thrown for at least 4,200 yards during seven of the past eight seasons and is averaging 30.0 passing touchdowns per season since 2008. Despite the volume, Rivers hasn't managed a top-10 fantasy campaign since 2013. His completion percentage fell off a cliff to 60 percent last season, although he went deep more often (8.5 average depth of target) and dealt with the league's 10th-highest drop rate (4.7 percent). Rivers threw a career-high 21 interceptions last season, but the good news is that he'll have an impressive, deep supporting cast in 2017, led by Keenan Allen, Mike Williams, Antonio Gates, Hunter Henry, Tyrell Williams and Melvin Gordon. Rivers is best viewed as a QB2, but there's some upside here."
Chiefs D/ST,"The Chiefs have built their recent defensive success on turnovers and scoring plays, and that was again the case when their D/ST finished fourth in fantasy points last season. The unit ranked first in interceptions (18), fumble recoveries (15), pass deflections (100) and touchdowns (eight). The Chiefs have intercepted 18-plus passes four of the past six seasons and ranked third with eight top-10 fantasy weeks in 2016. Most of Kansas City's defense returns in 2017, but Tamba Hali is now 33 years old and Derrick Johnson is recovering from a torn Achilles. Eric Berry, Justin Houston and Marcus Peters will need to carry the torch for this unit, which certainly gets a bump from returner Tyreek Hill, who scored three special teams touchdowns last season. A Week 1 trip to New England makes selecting the Chiefs' D/ST less appealing early on."
Texans D/ST,"Houston's defense allowed a league-low 4,821 yards last season, its fifth top-seven finish in the category over the past six years. That helped the team's J.J. Watt-less D/ST to a 12th-place finish despite ranking outside the top 20 in interceptions (11), forced fumbles (seven) and sacks (31). The Texans' D/ST had finished seventh or better in fantasy points four of the previous five years, so the returns of Watt and Kevin Johnson (who will help replace departed A.J. Bouye) figure to help the unit to a rebound season. Whitney Mercilus, Jadeveon Clowney, Brian Cushing and Benardrick McKinney also return from last year's loaded front seven."
Latavius Murray,"Murray, 27, joins the Vikings after spending the first four years of his career with Oakland. A 2013 sixth-round pick, he stepped into a full-time role in 2015 and went on to rack up 461 carries for 1,854 yards (4.0 YPC) and 18 touchdowns, as well as 74 receptions for 496 yards (5.6 YPR) during the 2015-16 seasons. Murray scored 12 touchdowns, thanks to 16 carries inside the opponent's 5-yard line last season, both of which were fifth-most in the league. In Minnesota, Murray, who is 6-foot-3 and 230 pounds, will work as power back and pass blocker alongside Jerick McKinnon and intriguing rookie Dalvin Cook. Murray may get first crack at early-down and goal-line work, but it's only a matter of time until the superior Cook takes full control. A Minnesota offensive line that allowed 1.9 yards before initial contact last season (second worst) only furthers the concern. Murray is unlikely to provide starting-caliber fantasy production throughout the season."
Vikings D/ST,"Minnesota's D/ST was fantasy's top-scoring unit last season, an impressive feat considering it ranked dead last in 2013. The Vikings ranked sixth or better in fumble recoveries (13), sacks (41), yards allowed (5,038), points allowed (307), touchdowns (seven) and top-10 fantasy weeks (eight). The loss of slot corner Captain Munnerlyn hurts a bit, but this a unit with talent on every level. That includes Harrison Smith, Xavier Rhodes, Eric Kendricks, Everson Griffen, Danielle Hunter, Linval Joseph and the ageless Terence Newman. The loss of Cordarrelle Patterson hurts this unit's potential for production from the return game. A Week 1 meeting with Drew Brees and the Saints is one to try to avoid."
Kevin White,"White was the seventh overall pick in the 2015 draft, but he's now appeared in only four of a possible 32 games because of injury over the past two years. After missing his entire rookie campaign, White showed progressive improvement as a sophomore this past season. He was targeted 35 times (8.75 per game), although a whopping 34 percent were off target. White will turn 25 this summer, which will be pretty late for a breakout, but he has a shot for a big role with Alshon Jeffery now in Philadelphia. White is 6-foot-3 and ran a 4.35 40-yard dash at the combine. His fantasy upside is enormous."
Robert Woods,"Woods is headed back home to Los Angeles after spending the first four years of his career in Buffalo. The 2013 second-round pick racked up 339 targets during his time with Buffalo, but never eclipsed 699 yards in a season. Woods struggled with injuries, missing at least two games during three of those four years. His size hasn't led to much work near the end zone; he has only 12 career receiving touchdowns and 24 end zone targets on his resume. Incredibly, he has produced only four top-10 fantasy weeks in his career. The 25-year-old is no more than a sneaky late-round option as a top target in a Rams offense unlikely to score very often."
Justin Tucker,"Tucker was ridiculously good in 2016, nailing all but one of his 39 field goal attempts. The only miss was blocked. He was perfect beyond 40 yards, including 10 of 10 from 50-plus yards. The average distance of his attempts was 41.9 yards, which was third highest in the NFL. Tucker's career 89.8 percent field goal conversion rate is the best all time, and he has connected on all 56 extra point attempts since the league moved the ball to the 15-yard line in 2015. Baltimore has attempted an NFL-high 352 field goals during the past decade. Tucker was fantasy's No. 2 kicker last season and has finished no lower than 11th since he entered the league in 2012. He's your best bet at the position, but you should not take a kicker before the last round of your draft."
Matt Bryant,"Bryant's career production has been quite the roller coaster, but it all led to the veteran pacing all kickers in fantasy points last season. Bryant has finished as a top-five fantasy kicker four of the past seven years but landed 12th or worse during the other three campaigns. He posted a top-10 fantasy week 13 times last season, which was four more than the next-closest kicker. He made 34 of 37 field goal attempts (91.9 percent) and, vaulted by Atlanta's terrific offense, converted an NFL-high 56 of his 57 extra point attempts. Atlanta's offense will come back to earth a bit this season, but Bryant will get enough work to post another strong fantasy campaign."
Stephen Gostkowski,"Gostkowski is further proof that reaching on a kicker is rarely a good idea. After finishing five straight seasons as a top-three fantasy kicker, including No. 1 each of the previous three years, Gostkowski plummeted to eighth in 2016. He converted 84.4 percent of his field goal attempts, which was his worst mark since 2012, and missed three extra point attempts. Gostkowski's efficiency dipped, but so did his volume; his 32 attempts were his lowest mark since 2010. Gostkowski is a quality kicker in one of the game's best offenses and figures to see more volume in 2017 (the Patriots rank third in the NFL with 336 field goal attempts during the past decade). He's an obvious bounce-back candidate."
Eric Ebron,"Ebron has finished as a top-15 fantasy tight end each of the past two seasons, but he's failed to meet the high expectations that come with being selected 10th overall in the draft. He's struggled with blocking, has missed eight games due to injury and has a position-high 16 drops in three seasons. Ebron scored just one touchdown last year, but he's hard to blame for that. He caught four of five end zone targets during his first two seasons but was limited to two end zone looks (he caught one) and no additional targets inside the opponent's 5-yard line last season. Ebron is only 23 years old, an athletically gifted 6-foot-4, 255-pound offensive weapon. He's a fringe TE1 target."
Adam Vinatieri,"Vinatieri's 87.1 percent field goal conversion rate last season is his lowest since 2012, but the average distance of his attempts (43.2 yards) was second highest in the league and, by far, the highest of his career. Considering the circumstances, Vinatieri's efficiency was outstanding. He finished third among kickers in fantasy points, and has finished top five during three of the past four seasons. Vinatieri turns 45 in December, but he's still going strong and working in a quality offense. He's a solid, high-floor option."
Dan Bailey,"Bailey converted only 27 (or 84.4 percent) of 32 field goal attempts last season, but his career mark of 89.5 percent is second best all time behind only Justin Tucker. Bailey is one of two kickers who haven't missed an extra point attempt during the past two seasons. The high efficiency has led to a lot of fantasy success. Bailey finished 10th at the position last year and has finished no lower than 11th since entering the league in 2011. Bailey is one of the NFL's best kickers, and the Cowboys' offense is good enough to allow him plenty of opportunities. He's a quality option for your team."
Rex Burkhead,"Burkhead was a 2013 sixth-round pick who played sparingly while primarily working as an H-back in Cincinnati during the past four seasons. Injuries forced him into a bigger role down the stretch last season, and he didn't disappoint. Burkhead averaged 4.6 YPC on 74 attempts, including 2.0 after contact, and he caught all but three of his 20 targets. Burkhead signed a one-year deal with New England and will compete for snaps with Mike Gillislee, Dion Lewis and James White. He's likely to be more valuable to New England than he is to fantasy owners."
Tyrod Taylor,"Taylor is back in Buffalo after a bizarre offseason that kicked off with a Week 17 benching. The Bills, of course, made the right decision to retain Taylor following a second consecutive standout season. Taylor's accuracy isn't great (off target on 20.2 percent of his throws last season), but he also had to deal with a poor supporting cast that created 4.2 yards after the catch (fourth lowest) and contributed to him being the league's most-sacked QB (42). Taylor more than makes up for suspect accuracy with his exceptional rushing ability; he paced all quarterbacks in carries, rushing yards and rushing scores last season. Taylor finished 13 of his 15 outings ranked 17th or better at the position in fantasy points. The loss of Sammy Watkins hurts, but Taylor's legs should help him sustain borderline top-10 fantasy production."
Cardinals D/ST,"The 2016 season was a disappointment for the Cardinals, but their D/ST still managed to finish third in fantasy points for the second year in a row. They ranked first in forced fumbles (21), sacks (48) and tackles for loss (122), and second in fumble recoveries (14) and fewest yards allowed (4,883). A lengthy list of offseason losses that includes Calais Campbell and Tony Jefferson certainly knocks Arizona down a few pegs, but this remains a solid group led by Chandler Jones, Patrick Peterson and Tyrann Mathieu."
Alvin Kamara,"Kamara may not have quite the statistical or athletic upside of some other top rookie backs, but he's solid and/or spectacular in nearly all areas. Kamara sports a healthy combination of size (5-foot-10, 214 pounds), power and speed, and his ability as a pass-catcher and returner will get him on the field early in his career. Multiple knee injuries, as well as character and fumble concerns, are the primary red flags facing the 21-year-old. Kamara posted the best vertical and broad jumps among backs during the combine. The third-round pick will begin his career in the 'Darren Sproles/Reggie Bush' role, with Mark Ingram and Adrian Peterson handling most of the carries and goal-line work. He's a worthwhile late-round target, but downgrade him in non-PPR."
Samaje Perine,"Perine was scooped up by Washington in the fourth round of April's draft. He lacks top-end speed and quickness, as reflected in his underwhelming combine production, but Perine is big (5-foot-11, 233 pounds) and powerful (position-high 30 bench press reps at the combine). He'll do his damage between the tackles, at the goal line and after initial contact. Perine was limited to 11 targets during his final season at Oklahoma, but to his credit, he caught 10 for 106 yards and a score. He has a shot at flex production, only if he's able to beat out Rob Kelley for early-down and goal-line work."
Patriots D/ST,"The Patriots benefited from an extremely light 2016 schedule, but their D/ST is one of only two units to rank top-10 in fantasy each of the past five years (Seattle). The Patriots allowed a league-low 250 points and forced 16 fumbles (seventh) last season. They ranked last in tackles for loss (60). New England added Stephon Gilmore and Lawrence Guy, but lost Logan Ryan, Jabaal Sheard and Chris Long during the offseason. Dont'a Hightower and Devin McCourty will again lead what should be a solid unit."
Matt Prater,"Prater finished fifth among kickers in fantasy points last season, and has now posted a top-nine campaign during three of the past five seasons. On the other hand, he finished 19th or worse the other two years and a lot of his 2016 damage came during a five-game stretch. Prater finished 10th or better during five games stretching from Week 9 to 14 but posted only one other weekly finish better than 13th. Prater's efficiency has been terrific during the past four years (88.4 percent) and he nailed all seven of his attempts from beyond 50 yards last season. He's a starting-caliber fantasy kicker but nothing more."
Dustin Hopkins,"Hopkins attempted a league-high 42 field goals last season but was able to convert only 34 (81 percent). The heavy volume allowed him the sixth-most fantasy points at the position. Hopkins' efficiency was better in 2015 (89.3 percent), but he attempted only 28 kicks and ranked 15th in fantasy points. The Redskins' high-scoring offense positions Hopkins for plenty of volume again this season, but the former sixth-round pick has shown to be no better than a pedestrian talent. He's a back-end fantasy starter."
Kenny Stills,"Stills enjoyed a breakout second season with Miami, but he's a lock for touchdown regression to the mean in 2017. Utilized primarily as a deep threat (14.4 average depth of target), Stills scored a touchdown on nine (or 21.4 percent) of his 42 receptions. He ranked sixth at the position in touchdowns, but was 56th in targets and 49th in end zone targets (six). On the plus side, despite working primarily as the third receiver, Stills was on the field for 90 percent of the team's pass plays. Stills' contract was extended during the offseason, but he will need to see more volume in order to repeat as a top-30 non-PPR receiver. That will be hard to achieve with DeVante Parker entering his third season and Julius Thomas now in the mix."
Jeremy Hill,"In his first three NFL seasons, Hill's number of carries have been 222, 223 and 222 and his rushing touchdowns have been nine, 13 and nine. While the volume has been consistent, the efficiency has not. Hill was terrific as a rookie, registering 5.1 YPC (sixth best), including 2.3 after contact (fifth). Over the past two seasons, he has averaged 3.7 YPC, including 1.5 after contact, both of which rank second-worst among 42 backs with at least 220 carries in that span. Hill has been a top-22 fantasy back each of his first three years in the NFL, but he has also been top 10 in carries inside the opponent's 5-yard line each season. He offers very little as a receiver, his effectiveness has dwindled and he's no longer the favorite for lead back duties following the selection of Joe Mixon in April's draft. Hill is no more than a late-round flier."
Marqise Lee,"Lee's injury woes have made it easy to forget that Jacksonville selected him 22 picks before it took Allen Robinson in the 2014 draft. Lee was limited to 52 receptions while sitting out nine games during his first two seasons but took a big step forward in 2016. Lee had to deal with 27.2 percent of the balls thrown his way qualifying as off target, but he averaged 13.5 yards per reception (35th), 5.6 of which came after the catch (14th). Lee has never posted a top-10 fantasy week but delivered seven top-30 weeks last year. Blake Bortles remains a problem, and the Jaguars should be able to run more with an improved defense, but Lee is good enough to warrant a late-round pick. "
Cooper Kupp,"Kupp was selected in the third round of April's draft. He has big time PPR upside as a player who dominated in a possession role at the collegiate level. Expect him to quickly nail down the Rams' slot gig. There's some late-round appeal here, though the Rams' low-scoring offense will limit his contributions. "
Panthers D/ST,"Over the past five years, Carolina's D/ST has finished 13th or worse three times and fourth or better twice. This was a mid-pack unit in 2016 that ranked top-four in interceptions (17), forced fumbles (18), sacks (47) and tackles for loss (100). Most of that was wiped out by Carolina allowing the seventh-most points (402) and 21st-most yards (5,756). Of those 402 points allowed, 54 percent came in six games against New Orleans (twice), Atlanta (twice), Oakland and Seattle. A rebound season is likely in the cards after the Panthers added Julius Peppers, Captain Munnerlyn and Mike Adams to a talented unit that also includes Luke Kuechly, Kawann Short, Shaq Thompson, Thomas Davis, Charles Johnson and James Bradberry. A Week 1 meeting with San Francisco makes this unit even more attractive."
Mason Crosby,"After posting back-to-back top-eight fantasy campaigns, Crosby has finished 16th or worse each of the past two years. Volume and efficiency are both culprits. Crosby totaled 70 field goal attempts during the 2013 and 2014 seasons, but 58 during the past two years. He ranks first in field goal attempts (328), but 36th in conversion rate (80.5 percent) among 41 kickers who have at least 100 attempts since he entered the league in 2007. Crosby is not a very good kicker, but Green Bay's strong offense has allowed him seven top-12 fantasy seasons, including six top-nine, during the past 10 years. You could do much worse at the position."
D'Onta Foreman,"At 6-foot, 233 pounds, Foreman is one of the biggest running backs entering the league this year. The 21-year-old is pretty quick and athletic for his size but may be limited to early-down and goal-line work at the pro level. Foreman carried the ball 323 times for 2,028 yards at Texas last season but was limited to seven receptions. He ran for negative yardage on only 9 percent of his carries. Similar to the likes of LeGarrette Blount and Jonathan Stewart, expect Foreman to settle in as an effective early-down and goal-line grinder. He won't have much standalone value as a rookie, but the third-round pick is an intriguing handcuff behind Lamar Miller. "
Shane Vereen,"Vereen tore his triceps twice last season, which limited him to 44 touches in five games. The 28-year-old passing-down specialist entered the year having finished top-six among backs in targets, receptions and receiving yards each of the previous two seasons. In fact, prior to 2016, Vereen had posted at least 68 targets, 47 receptions, 427 yards and three touchdowns in three consecutive seasons. Granted, he ran against a lot of nickel defenses, but Vereen has a serviceable career 4.3 YPC. He'll spend 2017 as the Giants' passing-down specialist behind Paul Perkins and is a solid late-round target in PPR."
Torrey Smith,"The Eagles signed Smith to a three-year deal with the hope that he'll return to the player he was during his four-year tenure in Baltimore. During that time, the 2011 second-round pick didn't miss a single game and averaged 106 targets, 53 receptions, 898 yards and 7.5 touchdowns per season. Incredibly, he finished a season no better than 22nd and no worse than 31st among wide receivers in fantasy points. Smith then signed with San Francisco, but the wheels fell off in the Bay Area. He caught a grand total of 53 balls for 930 yards and 7 touchdowns in 28 games with the 49ers. Smith figures to operate as the team's top deep threat and has an easier path to targets with Jordan Matthews now with the Rams."
Jaguars D/ST,"The Jaguars' D/ST has finished eight of the past nine seasons 21st or worse in fantasy points, which includes a 20th-place finish in 2016. Jacksonville finished dead last in interceptions (seven) and 31st in passes defensed (53), but showed well with a ninth-place finish in tackles for loss (93) and the sixth-fewest yards allowed (5,147). Despite this franchise's recent struggles, there's reason to expect a big step forward in 2017. This defense is now officially loaded, following the offseason acquisitions of Calais Campbell, Barry Church and A.J. Bouye. They join stars Malik Jackson, Paul Posluszny, Telvin Smith and Jalen Ramsey on a unit also stocked with intriguing prospects, including Dante Fowler Jr., Myles Jack and Yannick Ngakoue. The Jags face Houston in Week 1, which adds to this unit's draft-day appeal."
Bengals D/ST,"Cincinnati's D/ST has been a top-nine unit five of the past eight seasons, but has also posted a finish of 19th or worse two of the past three years. The Bengals ranked fourth in the league in interceptions (17) and allowed the eighth-fewest points (315), but fell to 19th in sacks (33) and ranked near the basement of the league in forced fumbles (six) for the third straight year. They have registered only two touchdowns in the past three years. With Geno Atkins, Carlos Dunlap, Vontaze Burfict, Vincent Rey, Adam Jones and George Iloka, this is a defense with talent on every level. William Jackson (first round) and Andrew Billings (fourth) will also play pivotal roles after missing their entire rookie season due to injuries. This unit is a good bet for a bounce back."
Jamaal Charles,"Charles owns a 5.5 YPC during his nine-year career, which is the league's top individual mark during the Super Bowl era. Although Charles has been an electric playmaker, his durability continues to derail his career. Charles has appeared in only eight games over the past two seasons and has missed at least 11 games during three of the past six years. Now 30, Charles heads to Denver where he will compete for touches with C.J. Anderson and Devontae Booker. It's possible he emerges into a 15-touch back, but the more likely scenario is a situational role. That would limit him to occasional flex value."
Cairo Santos,"Following an uninspiring rookie season, Santos has settled in as a solid kicker and decent fantasy asset. Santos is one of only four kickers who have posted top-12 fantasy campaigns each of the past two seasons. He nailed a career-high 88.6 percent of his field goal attempts in 2016, although the average distance of those kicks (35.7) was near the basement of the league, and down significantly from 2015 (39.8). Kansas City's conservative offense has allowed Santos the league's third-most attempts during the past two years (72) and we should expect more of the same in 2017."
Andy Dalton,"Dalton can't seem to be able to put together consecutive strong fantasy seasons, but a lot of his 2016 woes can be traced to forces out of his control. The Bengals changed offensive coordinators, overhauled the receiving corps behind A.J. Green, and Gio Bernard, Tyler Eifert and Green combined to miss 20 games. Dalton still managed to finish 12th at the position in fantasy points. He threw a career-low 18 touchdowns, but rushed for a career-high 184 yards and four touchdowns. Dalton was more conservative, more accurate and cut down even further on interceptions. He is a prime bounce-back candidate, especially following the additions of John Ross and Joe Mixon, but figures to max out as a streaming option."
Jason Witten,"Witten is now 35 years old and will return for his 15th professional season. The NFL's iron man has appeared in every single one of the Cowboys' games since sitting out an Oct. 12, 2003, game against the Eagles. Witten no longer sports much upside (nine top-10 fantasy weeks in the past two seasons) and 2016 marked the first season since his rookie year in which he didn't finish as a top-12 fantasy tight end. Witten has scored three touchdowns in each of the last two years, and his four end zone targets ranked 21st at the position last season. He's a solid TE2 in all formats, but he should be downgraded in non-PPR."
DeAndre Washington,"Oakland selected Washington in the fifth round of last year's draft following his highly productive and efficient stint at Texas Tech. The 5-foot-8, 204-pound scatback impressed with 582 yards and a pair of touchdowns on 104 touches as a rookie. He averaged 5.4 YPC (sixth), including 2.6 after contact (fourth). The 24-year-old will compete with Jalen Richard for reps behind Marshawn Lynch this season. He's nothing more than a late-round handcuff target. "
